kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov
110606,Sukamakmur,1106,Kabupaten Aceh Besar,11,Aceh
110607,Darul Imarah,1106,Kabupaten Aceh Besar,11,Aceh
110608,Peukan Bada,1106,Kabupaten Aceh Besar,11,Aceh
110609,Mesjid Raya,1106,Kabupaten Aceh Besar,11,Aceh
110610,Ingin Jaya,1106,Kabupaten Aceh Besar,11,Aceh
110611,Kuta Baro,1106,Kabupaten Aceh Besar,11,Aceh
110612,Darussalam,1106,Kabupaten Aceh Besar,11,Aceh
110613,Pulo Aceh,1106,Kabupaten Aceh Besar,11,Aceh
110614,Lembah Seulawah,1106,Kabupaten Aceh Besar,11,Aceh
110615,Kota Jantho,1106,Kabupaten Aceh Besar,11,Aceh
110616,Kuta Cot Glie,1106,Kabupaten Aceh Besar,11,Aceh
110617,Kuta Malaka,1106,Kabupaten Aceh Besar,11,Aceh
110618,Simpang Tiga,1106,Kabupaten Aceh Besar,11,Aceh
110619,Darul Kamal,1106,Kabupaten Aceh Besar,11,Aceh
110620,Baitussalam,1106,Kabupaten Aceh Besar,11,Aceh
110621,Krueng Barona Jaya,1106,Kabupaten Aceh Besar,11,Aceh
110622,Leupung,1106,Kabupaten Aceh Besar,11,Aceh
110623,Blang Bintang,1106,Kabupaten Aceh Besar,11,Aceh
110703,Batee,1107,Kabupaten Pidie,11,Aceh
110704,Delima,1107,Kabupaten Pidie,11,Aceh
110705,Geumpang,1107,Kabupaten Pidie,11,Aceh
110706,Glumpang Tiga,1107,Kabupaten Pidie,11,Aceh
110707,Indrajaya,1107,Kabupaten Pidie,11,Aceh
110708,Kembang Tanjong,1107,Kabupaten Pidie,11,Aceh
110709,Kota Sigli,1107,Kabupaten Pidie,11,Aceh
110711,Mila,1107,Kabupaten Pidie,11,Aceh
110712,Muara Tiga,1107,Kabupaten Pidie,11,Aceh
110713,Mutiara,1107,Kabupaten Pidie,11,Aceh
110714,Padang Tiji,1107,Kabupaten Pidie,11,Aceh
110715,Peukan Baro,1107,Kabupaten Pidie,11,Aceh
110716,Pidie,1107,Kabupaten Pidie,11,Aceh
110717,Sakti,1107,Kabupaten Pidie,11,Aceh
110718,Simpang Tiga,1107,Kabupaten Pidie,11,Aceh
110719,Tangse,1107,Kabupaten Pidie,11,Aceh
110721,Tiro/Truseb,1107,Kabupaten Pidie,11,Aceh
110722,Keumala,1107,Kabupaten Pidie,11,Aceh
110724,Mutiara Timur,1107,Kabupaten Pidie,11,Aceh
110725,Grong-grong,1107,Kabupaten Pidie,11,Aceh
110727,Mane,1107,Kabupaten Pidie,11,Aceh
110729,Glumpang Baro,1107,Kabupaten Pidie,11,Aceh
110731,Titeue,1107,Kabupaten Pidie,11,Aceh
110801,Baktiya,1108,Kabupaten Aceh Utara,11,Aceh
110802,Dewantara,1108,Kabupaten Aceh Utara,11,Aceh
110803,Kuta Makmur,1108,Kabupaten Aceh Utara,11,Aceh
110804,Lhoksukon,1108,Kabupaten Aceh Utara,11,Aceh
110805,Matangkuli,1108,Kabupaten Aceh Utara,11,Aceh
110806,Muara Batu,1108,Kabupaten Aceh Utara,11,Aceh
110807,Meurah Mulia,1108,Kabupaten Aceh Utara,11,Aceh
110808,Samudera,1108,Kabupaten Aceh Utara,11,Aceh
110809,Seunuddon,1108,Kabupaten Aceh Utara,11,Aceh
110810,Syamtalira Aron,1108,Kabupaten Aceh Utara,11,Aceh
110811,Syamtalira Bayu,1108,Kabupaten Aceh Utara,11,Aceh
110812,Tanah Luas,1108,Kabupaten Aceh Utara,11,Aceh
110813,Tanah Pasir,1108,Kabupaten Aceh Utara,11,Aceh
110814,Tanah Jambo Aye,1108,Kabupaten Aceh Utara,11,Aceh
110815,Sawang,1108,Kabupaten Aceh Utara,11,Aceh
110816,Nisam,1108,Kabupaten Aceh Utara,11,Aceh
110817,Cot Girek,1108,Kabupaten Aceh Utara,11,Aceh
110818,Langkahan,1108,Kabupaten Aceh Utara,11,Aceh
110819,Baktiya Barat,1108,Kabupaten Aceh Utara,11,Aceh
110820,Paya Bakong,1108,Kabupaten Aceh Utara,11,Aceh
110821,Nibong,1108,Kabupaten Aceh Utara,11,Aceh
110822,Simpang Keuramat,1108,Kabupaten Aceh Utara,11,Aceh
110823,Lapang,1108,Kabupaten Aceh Utara,11,Aceh
110824,Pirak Timu,1108,Kabupaten Aceh Utara,11,Aceh
110825,Geureudong Pase,1108,Kabupaten Aceh Utara,11,Aceh
110826,Banda Baro,1108,Kabupaten Aceh Utara,11,Aceh
110827,Nisam Antara,1108,Kabupaten Aceh Utara,11,Aceh
110901,Simeulue Tengah,1109,Kabupaten Simeulue,11,Aceh
110902,Salang,1109,Kabupaten Simeulue,11,Aceh
110903,Teupah Barat,1109,Kabupaten Simeulue,11,Aceh
110904,Simeulue Timur,1109,Kabupaten Simeulue,11,Aceh
110905,Teluk Dalam,1109,Kabupaten Simeulue,11,Aceh
110906,Simeulue Barat,1109,Kabupaten Simeulue,11,Aceh
110907,Teupah Selatan,1109,Kabupaten Simeulue,11,Aceh
110908,Alafan,1109,Kabupaten Simeulue,11,Aceh
110909,Teupah Tengah,1109,Kabupaten Simeulue,11,Aceh
110910,Simeulue Cut,1109,Kabupaten Simeulue,11,Aceh
111001,Pulau Banyak,1110,Kabupaten Aceh Singkil,11,Aceh
111002,Simpang Kanan,1110,Kabupaten Aceh Singkil,11,Aceh
111004,Singkil,1110,Kabupaten Aceh Singkil,11,Aceh
111006,Gunung Meriah,1110,Kabupaten Aceh Singkil,11,Aceh
111009,Kota Baharu,1110,Kabupaten Aceh Singkil,11,Aceh
111010,Singkil Utara,1110,Kabupaten Aceh Singkil,11,Aceh
111011,Danau Paris,1110,Kabupaten Aceh Singkil,11,Aceh
111012,Suro Makmur,1110,Kabupaten Aceh Singkil,11,Aceh
111013,Singkohor,1110,Kabupaten Aceh Singkil,11,Aceh
111014,Kuala Baru,1110,Kabupaten Aceh Singkil,11,Aceh
111016,Pulau Banyak Barat,1110,Kabupaten Aceh Singkil,11,Aceh
111101,Samalanga,1111,Kabupaten Bireuen,11,Aceh
111102,Jeunieb,1111,Kabupaten Bireuen,11,Aceh
