kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total,kp_kec_names
110216,Leuser,1102,Kabupaten Aceh Tenggara,11,Aceh,2433,1074,3512,83,3525,LEUSER
110301,Darul Aman,1103,Kabupaten Aceh Timur,11,Aceh,928,8446,9374,588,9962,DARUL AMAN
110302,Julok,1103,Kabupaten Aceh Timur,11,Aceh,1131,10929,12060,577,12569,JULOK
110303,Idi Rayeuk,1103,Kabupaten Aceh Timur,11,Aceh,1583,16621,17842,1087,18702,IDI RAYEUK
110304,Birem Bayeun,1103,Kabupaten Aceh Timur,11,Aceh,1374,12975,14400,312,14653,BIREM BAYEUN
110305,Serbajadi,1103,Kabupaten Aceh Timur,11,Aceh,677,2910,3587,225,3812,SERBAJADI
110306,Nurussalam,1103,Kabupaten Aceh Timur,11,Aceh,720,7746,8566,384,9059,NURUSSALAM
110307,Peureulak,1103,Kabupaten Aceh Timur,11,Aceh,829,6940,7771,350,8132,PEUREULAK
110308,Rantau Selamat,1103,Kabupaten Aceh Timur,11,Aceh,781,5256,6027,146,6212,RANTAU SELAMAT
110309,Simpang Ulim,1103,Kabupaten Aceh Timur,11,Aceh,828,8234,8905,529,9432,SIMPANG ULIM
110310,Ranto Peureulak,1103,Kabupaten Aceh Timur,11,Aceh,1506,9829,11263,616,11773,RANTAU PEUREULAK
110312,Madat,1103,Kabupaten Aceh Timur,11,Aceh,986,10331,11339,782,12088,MADAT
110313,Indra Makmu,1103,Kabupaten Aceh Timur,11,Aceh,662,6586,7248,182,7432,INDRA MAKMU
110314,Idi Tunong,1103,Kabupaten Aceh Timur,11,Aceh,441,4719,5157,274,5431,IDI TUNONG
110315,Banda Alam,1103,Kabupaten Aceh Timur,11,Aceh,326,3068,3247,160,3562,BANDA ALAM
110316,Peudawa,1103,Kabupaten Aceh Timur,11,Aceh,605,5234,5834,317,6149,PEUDAWA
110317,Peureulak Timur,1103,Kabupaten Aceh Timur,11,Aceh,829,5555,6385,372,6806,PEUREULAK TIMUR
110318,Peureulak Barat,1103,Kabupaten Aceh Timur,11,Aceh,605,6610,6936,715,7651,PEUREULAK BARAT
110319,Sungai Raya,1103,Kabupaten Aceh Timur,11,Aceh,620,4900,5524,239,5808,SUNGAI RAYA
110320,Simpang Jernih,1103,Kabupaten Aceh Timur,11,Aceh,308,1587,1895,40,1935,SIMPANG JERNIH
110321,Darul Ihsan,1103,Kabupaten Aceh Timur,11,Aceh,375,3152,3349,365,3713,DARUL IHSAN
110322,Darul Falah,1103,Kabupaten Aceh Timur,11,Aceh,161,1659,1830,54,1884,DARUL FALAH
110323,Idi Timur,1103,Kabupaten Aceh Timur,11,Aceh,280,2915,3195,194,3208,IDI TIMUR
110324,Peunaron,1103,Kabupaten Aceh Timur,11,Aceh,1398,3339,4709,84,5003,PEUNARON
110401,Linge,1104,Kabupaten Aceh Tengah,11,Aceh,3345,3109,6454,120,6570,LINGE
110402,Silih Nara,1104,Kabupaten Aceh Tengah,11,Aceh,5780,8499,14160,375,14647,SILIH NARA
110403,Bebesen,1104,Kabupaten Aceh Tengah,11,Aceh,5487,15876,21047,676,21723,BEBESEN
110407,Pegasing,1104,Kabupaten Aceh Tengah,11,Aceh,5377,6795,12707,276,12687,PEGASING
110408,Bintang,1104,Kabupaten Aceh Tengah,11,Aceh,3580,2759,6339,98,6438,BINTANG
110410,Ketol,1104,Kabupaten Aceh Tengah,11,Aceh,3377,5242,8623,213,8838,KETOL
110411,Kebayakan,1104,Kabupaten Aceh Tengah,11,Aceh,2868,6861,9729,161,9891,KEBAYAKAN
110412,Kute Panang,1104,Kabupaten Aceh Tengah,11,Aceh,2006,2943,4949,116,5073,KUTE PANANG
110413,Celala,1104,Kabupaten Aceh Tengah,11,Aceh,2760,3210,5969,167,6138,CELALA
110417,Laut Tawar,1104,Kabupaten Aceh Tengah,11,Aceh,3056,7627,10683,181,10871,LUT TAWAR
110418,Atu Lintang,1104,Kabupaten Aceh Tengah,11,Aceh,2196,1928,4124,119,4269,ATU LINTANG
110419,Jagong Jeget,1104,Kabupaten Aceh Tengah,11,Aceh,2926,3268,6194,110,6308,JAGONG JEGET
110420,Bies,1104,Kabupaten Aceh Tengah,11,Aceh,1885,2990,4875,131,5006,BIES
110421,Rusip Antara,1104,Kabupaten Aceh Tengah,11,Aceh,2502,1996,4414,79,4741,RUSIP ANTARA
110501,Johan Pahlawan,1105,Kabupaten Aceh Barat,11,Aceh,4231,28456,32362,1026,32496,JOHAN PAHWALAN
110502,Kaway XVI,1105,Kabupaten Aceh Barat,11,Aceh,2075,10818,12893,437,13346,KAWAY XVI
110503,Sungai Mas,1105,Kabupaten Aceh Barat,11,Aceh,252,2388,2523,182,2714,SUNGAI MAS
110504,Woyla,1105,Kabupaten Aceh Barat,11,Aceh,897,7778,8675,221,8896,WOYLA
110505,Samatiga,1105,Kabupaten Aceh Barat,11,Aceh,1620,8010,9624,193,9817,SAMATIGA
110506,Bubon,1105,Kabupaten Aceh Barat,11,Aceh,729,3407,4139,132,4248,BUBON
110507,Arongan Lambalek,1105,Kabupaten Aceh Barat,11,Aceh,1012,5916,6928,214,7142,ARONGAN LAMBALEK
