kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_anies,votes_prabowo,votes_ganjar,suara_sah,suara_tidak_sah,jumlah_tps,tps_dengan_data,tps_coverage_pct
121108,Siempat Nempu Hilir,1211,Kabupaten Dairi,12,Sumatera Utara,51,1564,794,731,16,43,17,39.5
121109,Pegagan Hilir,1211,Kabupaten Dairi,12,Sumatera Utara,381,3430,1603,3083,81,56,31,55.4
121110,Parbuluan,1211,Kabupaten Dairi,12,Sumatera Utara,72,2534,877,731,10,72,18,25.0
121111,Lae Parira,1211,Kabupaten Dairi,12,Sumatera Utara,529,3499,1523,4703,90,46,32,69.6
121112,Gunung Sitember,1211,Kabupaten Dairi,12,Sumatera Utara,53,1200,508,1232,21,33,10,30.3
121113,Berampu,1211,Kabupaten Dairi,12,Sumatera Utara,1176,1501,419,1645,43,26,15,57.7
121114,Silahisabungan,1211,Kabupaten Dairi,12,Sumatera Utara,48,2042,763,2619,32,18,15,83.3
121115,Sitinjo,1211,Kabupaten Dairi,12,Sumatera Utara,364,2493,673,1498,28,40,18,45.0
121201,Balige,1212,Kabupaten Toba,12,Sumatera Utara,272,8461,2223,4498,60,142,64,45.1
121202,Laguboti,1212,Kabupaten Toba,12,Sumatera Utara,149,4772,1520,2605,20,79,41,51.9
121203,Silaen,1212,Kabupaten Toba,12,Sumatera Utara,81,5194,1635,6911,48,51,44,86.3
121204,Habinsaran,1212,Kabupaten Toba,12,Sumatera Utara,53,3128,1332,2634,48,62,28,45.2
121205,Pintu Pohan Meranti,1212,Kabupaten Toba,12,Sumatera Utara,36,959,241,785,13,26,7,26.9
121206,Borbor,1212,Kabupaten Toba,12,Sumatera Utara,54,2168,729,2378,37,30,19,63.3
121207,Porsea,1212,Kabupaten Toba,12,Sumatera Utara,42,1011,310,1073,11,47,8,17.0
121208,Ajibata,1212,Kabupaten Toba,12,Sumatera Utara,43,1657,501,1481,14,31,12,38.7
