kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total
110411,Kebayakan,1104,Kabupaten Aceh Tengah,11,Aceh,2868,6861,9729,161,9891
110412,Kute Panang,1104,Kabupaten Aceh Tengah,11,Aceh,2006,2943,4949,116,5073
110413,Celala,1104,Kabupaten Aceh Tengah,11,Aceh,2760,3210,5969,167,6138
110417,Laut Tawar,1104,Kabupaten Aceh Tengah,11,Aceh,3056,7627,10683,181,10871
110418,Atu Lintang,1104,Kabupaten Aceh Tengah,11,Aceh,2196,1928,4124,119,4269
110419,Jagong Jeget,1104,Kabupaten Aceh Tengah,11,Aceh,2926,3268,6194,110,6308
110420,Bies,1104,Kabupaten Aceh Tengah,11,Aceh,1885,2990,4875,131,5006
110421,Rusip Antara,1104,Kabupaten Aceh Tengah,11,Aceh,2502,1996,4414,79,4741
110501,Johan Pahlawan,1105,Kabupaten Aceh Barat,11,Aceh,4231,28456,32362,1026,32496
110502,Kaway XVI,1105,Kabupaten Aceh Barat,11,Aceh,2075,10818,12893,437,13346
110503,Sungai Mas,1105,Kabupaten Aceh Barat,11,Aceh,252,2388,2523,182,2714
110504,Woyla,1105,Kabupaten Aceh Barat,11,Aceh,897,7778,8675,221,8896
110505,Samatiga,1105,Kabupaten Aceh Barat,11,Aceh,1620,8010,9624,193,9817
110506,Bubon,1105,Kabupaten Aceh Barat,11,Aceh,729,3407,4139,132,4248
110507,Arongan Lambalek,1105,Kabupaten Aceh Barat,11,Aceh,1012,5916,6928,214,7142
110508,Pante Ceureumen,1105,Kabupaten Aceh Barat,11,Aceh,1191,5823,7019,192,7169
110509,Meureubo,1105,Kabupaten Aceh Barat,11,Aceh,2120,13929,15853,624,16482
110510,Woyla Barat,1105,Kabupaten Aceh Barat,11,Aceh,649,4351,5000,126,5126
110511,Woyla Timur,1105,Kabupaten Aceh Barat,11,Aceh,490,2789,3280,106,3386
110512,Panton Reu,1105,Kabupaten Aceh Barat,11,Aceh,534,3520,4054,88,4142
110601,Lhoong,1106,Kabupaten Aceh Besar,11,Aceh,656,5370,6026,97,6123
110602,Lhoknga,1106,Kabupaten Aceh Besar,11,Aceh,706,9297,9856,324,10163
110603,Indrapuri,1106,Kabupaten Aceh Besar,11,Aceh,1046,12441,13375,525,13914
110604,Seulimeum,1106,Kabupaten Aceh Besar,11,Aceh,1224,11955,13206,409,13817
110605,Montasik,1106,Kabupaten Aceh Besar,11,Aceh,638,11788,12426,328,12768
110606,Sukamakmur,1106,Kabupaten Aceh Besar,11,Aceh,693,8568,9080,405,9486
110607,Darul Imarah,1106,Kabupaten Aceh Besar,11,Aceh,2708,24861,27525,604,27730
110608,Peukan Bada,1106,Kabupaten Aceh Besar,11,Aceh,978,9720,10698,206,10904
110609,Mesjid Raya,1106,Kabupaten Aceh Besar,11,Aceh,1137,9776,11005,362,11182
110610,Ingin Jaya,1106,Kabupaten Aceh Besar,11,Aceh,1657,17915,19034,369,19674
110611,Kuta Baro,1106,Kabupaten Aceh Besar,11,Aceh,1270,13971,15242,480,15792
110612,Darussalam,1106,Kabupaten Aceh Besar,11,Aceh,852,11751,12415,493,12908
110613,Pulo Aceh,1106,Kabupaten Aceh Besar,11,Aceh,565,2153,2718,46,2764
110614,Lembah Seulawah,1106,Kabupaten Aceh Besar,11,Aceh,824,5004,5831,218,6156
110615,Kota Jantho,1106,Kabupaten Aceh Besar,11,Aceh,605,4327,4932,109,5041
110616,Kuta Cot Glie,1106,Kabupaten Aceh Besar,11,Aceh,814,7797,8616,315,8941
110617,Kuta Malaka,1106,Kabupaten Aceh Besar,11,Aceh,244,3822,4058,99,4182
110618,Simpang Tiga,1106,Kabupaten Aceh Besar,11,Aceh,225,3593,3818,118,3936
110619,Darul Kamal,1106,Kabupaten Aceh Besar,11,Aceh,312,4395,4707,103,4820
110620,Baitussalam,1106,Kabupaten Aceh Besar,11,Aceh,1062,9345,10407,246,10727
110621,Krueng Barona Jaya,1106,Kabupaten Aceh Besar,11,Aceh,668,7693,8201,416,8613
110622,Leupung,1106,Kabupaten Aceh Besar,11,Aceh,186,1646,1832,32,1864
110623,Blang Bintang,1106,Kabupaten Aceh Besar,11,Aceh,531,6199,6637,243,6696
110703,Batee,1107,Kabupaten Pidie,11,Aceh,669,10092,10760,587,11343
110704,Delima,1107,Kabupaten Pidie,11,Aceh,803,9523,10318,346,10672
