id,kodam,kodam_address,kodam_lat,kodam_lng,korem,korem_address,korem_lat,korem_lng,kodim,kodim_address,kodim_lat,kodim_lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
17,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 044/Garuda Dempo,"Jl. Jend. Sudirman Km. 4,5, Palembang 30128",-2.957667,104.7352695,Kodim 0404/Muara Enim,"Jl. Muara Enim, Muara Enim 31314",-3.6538167,103.7769038,Muara Enim,Kabupaten Muara Enim,-3.6538167,103.7769038
18,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 044/Garuda Dempo,"Jl. Jend. Sudirman Km. 4,5, Palembang 30128",-2.957667,104.7352695,Kodim 0405/Lahat,"Makodim Kodim 0405/Lahat, Lahat",-3.7793324,103.5424559,Lahat,Kabupaten Lahat,-3.7793324,103.5424559
19,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 044/Garuda Dempo,"Jl. Jend. Sudirman Km. 4,5, Palembang 30128",-2.957667,104.7352695,Kodim 0406/Musi Rawas,"Makodim Kodim 0406/Musi Rawas, Musi Rawas",-3.3120677,102.8424674,Lubuk Linggau Barat I,Kota Lubuk Linggau,-3.3120677,102.8424674
20,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 044/Garuda Dempo,"Jl. Jend. Sudirman Km. 4,5, Palembang 30128",-2.957667,104.7352695,Kodim 0430/Banyuasin,"Makodim Kodim 0430/Banyuasin, Banyuasin",-2.9126645,104.4083485,Banyuasin III,Kabupaten Banyuasin,-2.9126645,104.4083485
21,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 045/Garuda Jaya,"Markas Korem 045/Garuda Jaya, Pangkal Pinang",-2.1556772,106.1570772,Kodim 0413/Bangka,"Makodim Kodim 0413/Bangka, Bangka",-2.1401674,106.1036094,Rangkui,Kota Pangkal Pinang,-2.1401674,106.1036094
22,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 045/Garuda Jaya,"Markas Korem 045/Garuda Jaya, Pangkal Pinang",-2.1556772,106.1570772,Kodim 0414/Belitung,"Makodim Kodim 0414/Belitung, Belitung",-2.7433815,107.6369169,Tanjungpandan,Kabupaten Belitung,-2.7433815,107.6369169
23,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 045/Garuda Jaya,"Markas Korem 045/Garuda Jaya, Pangkal Pinang",-2.1556772,106.1570772,Kodim 0431/Bangka Selatan,"Makodim Kodim 0431/Bangka Selatan, Bangka Selatan",-2.9131485,106.4665603,Airgegas,Kabupaten Bangka Selatan,-2.9131485,106.4665603
24,Kodam II/Sriwijaya,"Jl. Jend. Sudirman Km. 2,5, Palembang 30129",-2.9701791,104.749913,Korem 045/Garuda Jaya,"Markas Korem 045/Garuda Jaya, Pangkal Pinang",-2.1556772,106.1570772,Kodim 0432/Bangka Barat,"Makodim Kodim 0432/Bangka Barat, Bangka Barat",-2.054358,105.197193,Mentok,Kabupaten Bangka Barat,-2.054358,105.197193
25,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Berdiri Sendiri,,,,Kodim 0618/Bandung,"Makodim Kodim 0618/Bandung, Bandung",-6.9156224,107.6192912,Sumur Bandung,Kota Bandung,-6.9156224,107.6192912
26,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 061/Surya Kencana,"Markas Korem 061/Surya Kencana, Bogor",-6.587218,106.7880135,Kodim 0606/Bogor,"Makodim Kodim 0606/Bogor, Bogor",-6.5867384,106.7965451,Bogor Tengah,Kota Bogor,-6.5867384,106.7965451
27,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 061/Surya Kencana,"Markas Korem 061/Surya Kencana, Bogor",-6.587218,106.7880135,Kodim 0607/Sukabumi,"Makodim Kodim 0607/Sukabumi, Sukabumi",-6.9191971,106.9547763,Sukaraja,Kabupaten Sukabumi,-6.9191971,106.9547763
28,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 061/Surya Kencana,"Markas Korem 061/Surya Kencana, Bogor",-6.587218,106.7880135,Kodim 0608/Cianjur,"Makodim Kodim 0608/Cianjur, Cianjur",-6.8277121,107.1363789,Cianjur,Kabupaten Cianjur,-6.8277121,107.1363789
29,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 061/Surya Kencana,"Markas Korem 061/Surya Kencana, Bogor",-6.587218,106.7880135,Kodim 0621/Cibinong,"Makodim Kodim 0621/Cibinong, Cibinong",-6.4812944,106.8239753,Cibinong,Kabupaten Bogor,-6.4812944,106.8239753
30,Kodam III/Siliwangi,"Jl. Aceh No. 69, Bandung",-6.909183,107.6131565,Korem 061/Surya Kencana,"Markas Korem 061/Surya Kencana, Bogor",-6.587218,106.7880135,Kodim 0622/Palabuhanratu,"Makodim Kodim 0622/Palabuhanratu, Palabuhanratu",-6.9596626,106.5548005,Palabuhanratu,Kabupaten Sukabumi,-6.9596626,106.5548005
