id,kodam,kodam_address,kodam_lat,kodam_lng,korem,korem_address,korem_lat,korem_lng,kodim,kodim_address,kodim_lat,kodim_lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
72,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0716/Demak,"Makodim Kodim 0716/Demak, Demak",-6.8912244,110.6400657,Demak,Kabupaten Demak,-6.8912244,110.6400657
73,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0717/Grobogan,"Makodim Kodim 0717/Grobogan, Grobogan",-7.0797832,110.9158682,Purwodadi,Kabupaten Grobogan,-7.0797832,110.9158682
74,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0718/Pati,"Makodim Kodim 0718/Pati, Pati",-6.7513005,111.0337842,Pati,Kabupaten Pati,-6.7513005,111.0337842
75,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0719/Jepara,"Makodim Kodim 0719/Jepara, Jepara",-6.5888255,110.6667205,Jepara,Kabupaten Jepara,-6.5888255,110.6667205
76,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0720/Rembang,"Makodim Kodim 0720/Rembang, Rembang",-6.7044283,111.3413458,Rembang,Kabupaten Rembang,-6.7044283,111.3413458
77,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0721/Blora,"Makodim Kodim 0721/Blora, Blora",-6.9711673,111.4205496,Blora,Kabupaten Blora,-6.9711673,111.4205496
78,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 073/Makutarama,"Markas Korem 073/Makutarama, Salatiga",-7.3227218,110.5018182,Kodim 0722/Kudus,"Makodim Kodim 0722/Kudus, Kudus",-6.8063661,110.8457365,Kota Kudus,Kabupaten Kudus,-6.8063661,110.8457365
79,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0723/Klaten,"Makodim Kodim 0723/Klaten, Klaten",-7.7075107,110.5983631,Klaten Tengah,Kabupaten Klaten,-7.7075107,110.5983631
80,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0724/Boyolali,"Makodim Kodim 0724/Boyolali, Boyolali",-7.5386664,110.6149616,Boyolali,Kabupaten Boyolali,-7.5386664,110.6149616
81,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0725/Sragen,"Makodim Kodim 0725/Sragen, Sragen",-7.4299763,111.0073775,Sragen,Kabupaten Sragen,-7.4299763,111.0073775
82,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0726/Sukoharjo,"Makodim Kodim 0726/Sukoharjo, Sukoharjo",-7.6781553,110.8385951,Sukoharjo,Kabupaten Sukoharjo,-7.6781553,110.8385951
83,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0727/Karanganyar,"Makodim Kodim 0727/Karanganyar, Karanganyar",-7.593523,110.939477,Karanganyar,Kabupaten Karanganyar,-7.593523,110.939477
84,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0728/Wonogiri,"Makodim Kodim 0728/Wonogiri, Wonogiri",-7.818807,110.922962,Wonogiri,Kabupaten Wonogiri,-7.818807,110.922962
85,Kodam IV/Diponegoro,"Jl. Perintis Kemerdekaan, Watugong, Semarang 50264",-7.0857303,110.407364,Korem 074/Warastratama,"Markas Korem 074/Warastratama, Surakarta",-7.559994,110.7889263,Kodim 0735/Surakarta,"Makodim Kodim 0735/Surakarta, Surakarta",-7.5550469,110.7989676,Laweyan,Kota Surakarta,-7.5550469,110.7989676
86,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1601/Waingapu,"Makodim Kodim 1601/Waingapu, Waingapu",-9.644938,120.2549687,Paga,Kabupaten Sikka,-9.644938,120.2549687
87,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1602/Ende,"Makodim Kodim 1602/Ende, Ende",-8.8421678,121.6437203,Ende Utara,Kabupaten Ende,-8.8421678,121.6437203
88,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1603/Maumere,"Makodim Kodim 1603/Maumere, Maumere",-8.627063,122.2320026,Alok Timur,Kabupaten Sikka,-8.627063,122.2320026
89,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1604/Kupang,"Makodim Kodim 1604/Kupang, Kupang",-10.1669,123.583,Kota Raja,Kota Kupang,-10.1669,123.583
90,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1605/Belu,"Makodim Kodim 1605/Belu, Belu",-9.1005001,124.8990077,Kota Atambua,Kabupaten Belu,-9.1005001,124.8990077
91,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1612/Ruteng,"Makodim Kodim 1612/Ruteng, Ruteng",-8.6081362,120.4699561,Teluk Mutiara,Kabupaten Alor,-8.6081362,120.4699561
92,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1613/Sumba Barat,"Makodim Kodim 1613/Sumba Barat, Sumba Barat",-9.6369253,119.4114009,Kota Waikabubak,Kabupaten Sumba Barat,-9.6369253,119.4114009
93,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1618/Kefamenanu,"Makodim Kodim 1618/Kefamenanu, Kefamenanu",-9.4635543,124.4837777,Kota Kefamenanu,Kabupaten Timor Tengah Utara,-9.4635543,124.4837777
94,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1621/Timor Tengah Selatan,"Makodim Kodim 1621/Timor Tengah Selatan, Timor Tengah Selatan",-9.863518,124.2593008,Kota Soe,Kabupaten Timor Tengah Selatan,-9.863518,124.2593008
95,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1622/Kalabahi,"Makodim Kodim 1622/Kalabahi, Kalabahi",-8.2161194,124.5459961,Wulanggitang,Kabupaten Flores Timur,-8.2161194,124.5459961
96,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1624/Larantuka,"Makodim Kodim 1624/Larantuka, Larantuka",-8.3420432,122.9864836,Larantuka,Kabupaten Flores Timur,-8.3420432,122.9864836
97,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1625/Bajawa,"Makodim Kodim 1625/Bajawa, Bajawa",-8.7895704,120.9774484,Bajawa,Kabupaten Ngada,-8.7895704,120.9774484
98,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1627/Rote Ndao,"Makodim Kodim 1627/Rote Ndao, Rote Ndao",-10.7798454,123.0722726,Rote Barat Daya,Kabupaten Rote Ndao,-10.7798454,123.0722726
99,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1629/Sumba Barat Daya,"Makodim Kodim 1629/Sumba Barat Daya, Sumba Barat Daya",-9.4240646,119.1758835,Loura,Kabupaten Sumba Barat Daya,-9.4240646,119.1758835
100,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 161/Wira Sakti,"Markas Korem 161/Wira Sakti, Kupang",-10.1735101,123.6155306,Kodim 1630/Manggarai Barat,"Makodim Kodim 1630/Manggarai Barat, Manggarai Barat",-8.4988789,119.895437,Macang Pacar,Kabupaten Manggarai Barat,-8.4988789,119.895437
101,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1606/Mataram,"Makodim Kodim 1606/Mataram, Mataram",-8.5837249,116.1104583,Mataram,Kota Mataram,-8.5837249,116.1104583
102,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1607/Sumbawa Besar,"Makodim Kodim 1607/Sumbawa Besar, Sumbawa Besar",-8.4960134,117.4241575,Sumbawa,Kabupaten Sumbawa,-8.4960134,117.4241575
103,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1608/Bima,"Makodim Kodim 1608/Bima, Bima",-8.4614456,118.7439727,Mpunda,Kota Bima,-8.4614456,118.7439727
104,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1614/Dompu,"Makodim Kodim 1614/Dompu, Dompu",-8.5333147,118.4656312,Dompu,Kabupaten Dompu,-8.5333147,118.4656312
105,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1615/Lombok Timur,"Makodim Kodim 1615/Lombok Timur, Lombok Timur",-8.6516704,116.5313644,Selong,Kabupaten Lombok Timur,-8.6516704,116.5313644
106,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1620/Praya,"Makodim Kodim 1620/Praya, Praya",-8.7042193,116.2644461,Praya,Kabupaten Lombok Tengah,-8.7042193,116.2644461
107,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 162/Wira Bhakti,"Markas Korem 162/Wira Bhakti, Mataram",-8.6183714,116.1066722,Kodim 1628/Taliwang,"Makodim Kodim 1628/Taliwang, Taliwang",-8.7561561,116.8217347,Taliwang,Kabupaten Sumbawa Barat,-8.7561561,116.8217347
108,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1609/Buleleng,"Makodim Kodim 1609/Buleleng, Buleleng",-8.110877,115.0923886,Buleleng,Kabupaten Buleleng,-8.110877,115.0923886
109,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1610/Klungkung,"Makodim Kodim 1610/Klungkung, Klungkung",-8.5246854,115.401776,Klungkung,Kabupaten Klungkung,-8.5246854,115.401776
110,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1611/Badung,"Makodim Kodim 1611/Badung, Badung",-8.6583965,115.217756,Denpasar Barat,Kota Denpasar,-8.6583965,115.217756
111,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1616/Gianyar,"Makodim Kodim 1616/Gianyar, Gianyar",-8.541517,115.32445,Gianyar,Kabupaten Gianyar,-8.541517,115.32445
112,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1617/Negara,"Makodim Kodim 1617/Negara, Negara",-8.3611196,114.636299,Jembrana,Kabupaten Jembrana,-8.3611196,114.636299
113,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1619/Tabanan,"Makodim Kodim 1619/Tabanan, Tabanan",-8.5375637,115.1351399,Tabanan,Kabupaten Tabanan,-8.5375637,115.1351399
114,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1623/Karangasem,"Makodim Kodim 1623/Karangasem, Karangasem",-8.4501606,115.6070289,Karangasem,Kabupaten Karangasem,-8.4501606,115.6070289
115,Kodam IX/Udayana,"Markas Kodam IX/Udayana, Denpasar",-8.6568594,115.2164128,Korem 163/Wira Satya,"Markas Korem 163/Wira Satya, Denpasar",-8.6667471,115.218391,Kodim 1626/Bangli,"Makodim Kodim 1626/Bangli, Bangli",-8.4655462,115.3524751,Bangli,Kabupaten Bangli,-8.4655462,115.3524751
116,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Berdiri Sendiri,,,,Kodim 0101/Banda Aceh,"Makodim Kodim 0101/Banda Aceh, Banda Aceh",5.5507907,95.3200962,Baiturrahman,Kota Banda Aceh,5.5507907,95.3200962
117,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0102/Pidie,"Makodim Kodim 0102/Pidie, Pidie",5.3668961,95.9588794,Pidie,Kabupaten Pidie,5.3668961,95.9588794
118,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0103/Aceh Utara,"Makodim Kodim 0103/Aceh Utara, Aceh Utara",5.17936,97.1506,Banda Sakti,Kota Lhokseumawe,5.17936,97.1506
119,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0104/Aceh Timur,"Makodim Kodim 0104/Aceh Timur, Aceh Timur",4.4871958,97.9549069,Langsa Baro,Kota Langsa,4.4871958,97.9549069
120,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0106/Aceh Tengah,"Makodim Kodim 0106/Aceh Tengah, Aceh Tengah",4.620028,96.8499555,Laut Tawar,Kabupaten Aceh Tengah,4.620028,96.8499555
121,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0108/Aceh Tenggara,"Makodim Kodim 0108/Aceh Tenggara, Aceh Tenggara",3.4855693,97.810891,Babussalam,Kabupaten Aceh Tenggara,3.4855693,97.810891
122,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0111/Bireuen,"Makodim Kodim 0111/Bireuen, Bireuen",5.2056395,96.6654546,Jeumpa,Kabupaten Bireuen,5.2056395,96.6654546
123,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0113/Gayo Lues,"Makodim Kodim 0113/Gayo Lues, Gayo Lues",3.9569132,97.3504275,Blangkejeren,Kabupaten Gayo Lues,3.9569132,97.3504275
124,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0117/Aceh Tamiang,"Makodim Kodim 0117/Aceh Tamiang, Aceh Tamiang",4.2048589,98.0586716,Kejuruan Muda,Kabupaten Aceh Tamiang,4.2048589,98.0586716
125,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 011/Lilawangsa,"Markas Korem 011/Lilawangsa, Lhokseumawe",5.1791746,97.1516602,Kodim 0119/Bener Meriah,"Makodim Kodim 0119/Bener Meriah, Bener Meriah",4.7221766,96.8287302,Wih Pesam,Kabupaten Bener Meriah,4.7221766,96.8287302
126,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0105/Aceh Barat,"Makodim Kodim 0105/Aceh Barat, Aceh Barat",4.1586862,96.1268138,Johan Pahlawan,Kabupaten Aceh Barat,4.1586862,96.1268138
127,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0107/Aceh Selatan,"Makodim Kodim 0107/Aceh Selatan, Aceh Selatan",3.2607064,97.1955346,Tapaktuan,Kabupaten Aceh Selatan,3.2607064,97.1955346
128,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0109/Aceh Singkil,"Makodim Kodim 0109/Aceh Singkil, Aceh Singkil",2.2819633,97.8970084,Singkil Utara,Kabupaten Aceh Singkil,2.2819633,97.8970084
129,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0110/Aceh Barat Daya,"Makodim Kodim 0110/Aceh Barat Daya, Aceh Barat Daya",3.7326819,96.8583059,Blangpidie,Kabupaten Aceh Barat Daya,3.7326819,96.8583059
130,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0112/Sabang,"Makodim Kodim 0112/Sabang, Sabang",5.8689543,95.3461415,Sukajaya,Kota Sabang,5.8689543,95.3461415
131,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0114/Aceh Jaya,"Makodim Kodim 0114/Aceh Jaya, Aceh Jaya",4.6292863,95.5778022,Krueng Sabee,Kabupaten Aceh Jaya,4.6292863,95.5778022
132,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0115/Simeuleu,"Makodim Kodim 0115/Simeuleu, Simeuleu",2.4836766,96.3691363,Simeulue Timur,Kabupaten Simeulue,2.4836766,96.3691363
133,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0116/Nagan Raya,"Makodim Kodim 0116/Nagan Raya, Nagan Raya",4.1697214,96.3220468,Suka Makmue,Kabupaten Nagan Raya,4.1697214,96.3220468
134,Kodam Iskandar Muda,"Markas Kodam Iskandar Muda, Banda Aceh",5.5559307,95.3206048,Korem 012/Teuku Umar,"Markas Korem 012/Teuku Umar, Meulaboh",4.1351629,96.2124517,Kodim 0118/Subulussalam,"Makodim Kodim 0118/Subulussalam, Subulussalam",2.6228543,98.0359465,Penanggalan,Kota Subulussalam,2.6228543,98.0359465
135,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Berdiri Sendiri,,,,Kodim 0501/Jakarta Pusat,"Makodim Kodim 0501/Jakarta Pusat, Jakarta Pusat",-6.1556169,106.8433242,Sawah Besar,Kota Administrasi Jakarta Pusat,-6.1556169,106.8433242
136,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 051/Wijayakarta,"Markas Korem 051/Wijayakarta, Bekasi",-6.2984991,107.1486163,Kodim 0504/Jakarta Selatan,"Makodim Kodim 0504/Jakarta Selatan, Jakarta Selatan",-6.2568259,106.7781398,Kebayoran Lama,Kota Administrasi Jakarta Selatan,-6.2568259,106.7781398
137,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 051/Wijayakarta,"Markas Korem 051/Wijayakarta, Bekasi",-6.2984991,107.1486163,Kodim 0505/Jakarta Timur,"Makodim Kodim 0505/Jakarta Timur, Jakarta Timur",-6.2128075,106.9467161,Cakung,Kota Administrasi Jakarta Timur,-6.2128075,106.9467161
138,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 051/Wijayakarta,"Markas Korem 051/Wijayakarta, Bekasi",-6.2984991,107.1486163,Kodim 0507/Bekasi,"Makodim Kodim 0507/Bekasi, Bekasi",-6.2422202,106.9989694,Bekasi Selatan,Kota Bekasi,-6.2422202,106.9989694
139,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 051/Wijayakarta,"Markas Korem 051/Wijayakarta, Bekasi",-6.2984991,107.1486163,Kodim 0508/Depok,"Makodim Kodim 0508/Depok, Depok",-6.389172,106.793805,Pancoran Mas,Kota Depok,-6.389172,106.793805
140,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 052/Wijayakrama,"Markas Korem 052/Wijayakrama, Tangerang",-6.2250502,106.6071731,Kodim 0502/Jakarta Utara,"Makodim Kodim 0502/Jakarta Utara, Jakarta Utara",-6.1360741,106.8916324,Tanjung Priok,Kota Administrasi Jakarta Utara,-6.1360741,106.8916324
141,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 052/Wijayakrama,"Markas Korem 052/Wijayakrama, Tangerang",-6.2250502,106.6071731,Kodim 0503/Jakarta Barat,"Makodim Kodim 0503/Jakarta Barat, Jakarta Barat",-6.1714797,106.7894178,Grogol Petamburan,Kota Administrasi Jakarta Barat,-6.1714797,106.7894178
142,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 052/Wijayakrama,"Markas Korem 052/Wijayakrama, Tangerang",-6.2250502,106.6071731,Kodim 0506/Tangerang,"Makodim Kodim 0506/Tangerang, Tangerang",-6.185458,106.6385278,Tangerang,Kota Tangerang,-6.185458,106.6385278
143,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 052/Wijayakrama,"Markas Korem 052/Wijayakrama, Tangerang",-6.2250502,106.6071731,Kodim 0509/Cikarang,"Makodim Kodim 0509/Cikarang, Cikarang",-6.365892,107.175306,Cikarang Pusat,Kabupaten Bekasi,-6.365892,107.175306
144,Kodam Jayakarta,"Jl. Mayjen Sutoyo No. 5, Cililitan, Jakarta Timur",-6.2535775,106.8716617,Korem 052/Wijayakrama,"Markas Korem 052/Wijayakrama, Tangerang",-6.2250502,106.6071731,Kodim 0510/Tigaraksa,"Makodim Kodim 0510/Tigaraksa, Tigaraksa",-6.277271,106.4839566,Sepatan,Kabupaten Tangerang,-6.277271,106.4839566
