kodim_id,korem_id,kodam_id,kodam,korem,name,address,lat,lng,kecamatan,kabupaten_kota,kecamatan_lat,kecamatan_lng
KODIM-024,KOREM-006,KODAM-02,Kodam II/Sriwijaya,Korem 045/Garuda Jaya,Kodim 0432/Bangka Barat,"Makodim Kodim 0432/Bangka Barat, Bangka Barat",-2.054358,105.197193,Mentok,Kabupaten Bangka Barat,-2.054358,105.197193
KODIM-025,KOREM-007,KODAM-03,Kodam III/Siliwangi,Berdiri Sendiri,Kodim 0618/Bandung,"Makodim Kodim 0618/Bandung, Bandung",-6.9156224,107.6192912,Sumur Bandung,Kota Bandung,-6.9156224,107.6192912
KODIM-026,KOREM-008,KODAM-03,Kodam III/Siliwangi,Korem 061/Surya Kencana,Kodim 0606/Bogor,"Makodim Kodim 0606/Bogor, Bogor",-6.5867384,106.7965451,Bogor Tengah,Kota Bogor,-6.5867384,106.7965451
KODIM-027,KOREM-008,KODAM-03,Kodam III/Siliwangi,Korem 061/Surya Kencana,Kodim 0607/Sukabumi,"Makodim Kodim 0607/Sukabumi, Sukabumi",-6.9191971,106.9547763,Sukaraja,Kabupaten Sukabumi,-6.9191971,106.9547763
KODIM-028,KOREM-008,KODAM-03,Kodam III/Siliwangi,Korem 061/Surya Kencana,Kodim 0608/Cianjur,"Makodim Kodim 0608/Cianjur, Cianjur",-6.8277121,107.1363789,Cianjur,Kabupaten Cianjur,-6.8277121,107.1363789
KODIM-029,KOREM-008,KODAM-03,Kodam III/Siliwangi,Korem 061/Surya Kencana,Kodim 0621/Cibinong,"Makodim Kodim 0621/Cibinong, Cibinong",-6.4812944,106.8239753,Cibinong,Kabupaten Bogor,-6.4812944,106.8239753
KODIM-030,KOREM-008,KODAM-03,Kodam III/Siliwangi,Korem 061/Surya Kencana,Kodim 0622/Palabuhanratu,"Makodim Kodim 0622/Palabuhanratu, Palabuhanratu",-6.9596626,106.5548005,Palabuhanratu,Kabupaten Sukabumi,-6.9596626,106.5548005
KODIM-031,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0609/Cimahi,"Makodim Kodim 0609/Cimahi, Cimahi",-6.8797627,107.543859,Cimahi Tengah,Kota Cimahi,-6.8797627,107.543859
KODIM-032,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0610/Sumedang,"Makodim Kodim 0610/Sumedang, Sumedang",-6.8637662,107.9083597,Sumedang Selatan,Kabupaten Sumedang,-6.8637662,107.9083597
KODIM-033,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0611/Garut,"Makodim Kodim 0611/Garut, Garut",-7.2144045,107.9048362,Karangpawitan,Kabupaten Garut,-7.2144045,107.9048362
KODIM-034,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0612/Tasikmalaya,"Makodim Kodim 0612/Tasikmalaya, Tasikmalaya",-7.3261464,108.2221913,Tawang,Kota Tasikmalaya,-7.3261464,108.2221913
KODIM-035,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0613/Ciamis,"Makodim Kodim 0613/Ciamis, Ciamis",-7.3261209,108.3687234,Ciamis,Kabupaten Ciamis,-7.3261209,108.3687234
KODIM-036,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0624/Soreang,"Makodim Kodim 0624/Soreang, Soreang",-6.9822729,107.5329211,Kutawaringin,Kabupaten Bandung,-6.9822729,107.5329211
KODIM-037,KOREM-009,KODAM-03,Kodam III/Siliwangi,Korem 062/Tarumanagara,Kodim 0625/Pangandaran,"Makodim Kodim 0625/Pangandaran, Pangandaran",-7.654429,108.4802404,Parigi,Kabupaten Pangandaran,-7.654429,108.4802404
KODIM-038,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0604/Karawang,"Makodim Kodim 0604/Karawang, Karawang",-6.3004024,107.3047828,Karawang Barat,Kabupaten Karawang,-6.3004024,107.3047828
KODIM-039,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0605/Subang,"Makodim Kodim 0605/Subang, Subang",-6.5578165,107.7648959,Subang,Kabupaten Subang,-6.5578165,107.7648959
KODIM-040,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0614/Cirebon,"Makodim Kodim 0614/Cirebon, Cirebon",-6.7299006,108.5448461,Kesambi,Kota Cirebon,-6.7299006,108.5448461
KODIM-041,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0615/Kuningan,"Makodim Kodim 0615/Kuningan, Kuningan",-6.9695678,108.4999999,Kuningan,Kabupaten Kuningan,-6.9695678,108.4999999
KODIM-042,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0616/Indramayu,"Makodim Kodim 0616/Indramayu, Indramayu",-6.3515523,108.3252074,Indramayu,Kabupaten Indramayu,-6.3515523,108.3252074
KODIM-043,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0617/Majalengka,"Makodim Kodim 0617/Majalengka, Majalengka",-6.8333826,108.2409627,Majalengka,Kabupaten Majalengka,-6.8333826,108.2409627
KODIM-044,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0619/Purwakarta,"Makodim Kodim 0619/Purwakarta, Purwakarta",-6.559501,107.447528,Purwakarta,Kabupaten Purwakarta,-6.559501,107.447528
KODIM-045,KOREM-010,KODAM-03,Kodam III/Siliwangi,Korem 063/Sunan Gunung Jati,Kodim 0620/Sumber,"Makodim Kodim 0620/Sumber, Sumber",-6.7512116,108.4894628,Sumber,Kabupaten Cirebon,-6.7512116,108.4894628
KODIM-046,KOREM-011,KODAM-03,Kodam III/Siliwangi,Korem 064/Maulana Yusuf,Kodim 0601/Pandeglang,"Makodim Kodim 0601/Pandeglang, Pandeglang",-6.3083074,106.1055349,Pandeglang,Kabupaten Pandeglang,-6.3083074,106.1055349
KODIM-047,KOREM-011,KODAM-03,Kodam III/Siliwangi,Korem 064/Maulana Yusuf,Kodim 0602/Serang,"Makodim Kodim 0602/Serang, Serang",-6.1638804,106.1546173,Cipocok Jaya,Kota Serang,-6.1638804,106.1546173
